date,nation,visitor,growth,share,age0-20,age21-30,age31-40,age41-50,age51-60,age61,error_count,male,female,crewman,tourism,business,official_affairs,studying,others
2019-02-01,USA,57732,-0.125921664218989,0.04803786314218149,4516,9527,9919,9187,10502,9602,4479,29846,23407,4479,38475,386,1970,1144,15757
2019-02-01,Canada,13551,-0.17562963864217063,0.011275567855603501,1080,2490,2457,1811,2370,2205,1138,6405,6008,1138,8888,45,27,116,4475
2019-02-01,Brazil,1354,-0.12757731958762883,0.0011266414933574747,114,392,292,182,86,44,244,647,463,244,881,12,13,101,347
2019-02-01,Mexico,1435,0.02426837972876528,0.0011940402828419325,51,408,290,149,105,60,372,590,473,372,818,1,7,207,402
2019-02-01,America others,2308,-0.02120441051738764,0.001920449458396641,178,759,472,256,183,119,341,964,1003,341,1578,19,24,257,430
2019-02-01,Russia,20001,-0.042510412178658585,0.01664250849973623,1329,4123,4137,2972,1994,1106,4340,8297,7364,4340,12512,139,24,391,6935
2019-02-01,UK,7876,-0.23785562221792145,0.006553492172587497,353,1736,1474,1248,1284,1141,640,4640,2596,640,5864,150,8,105,1749
2019-02-01,Germany,6866,-0.28307403153388316,0.005713087513583769,288,1514,1306,1210,1213,571,764,4394,1708,764,4878,258,15,525,1190
2019-02-01,France,5830,-0.19884567816407858,0.004851048675239349,527,1793,1049,939,671,290,561,3329,1940,561,3685,235,30,958,922
2019-02-01,Italy,2384,-0.255,0.00198368782877712,58,389,494,519,387,127,410,1487,487,410,1685,52,14,125,508
2019-02-01,Netherland,2357,-0.39780275932549825,0.0019612215656156333,120,420,340,328,349,324,476,1297,584,476,1580,33,7,180,557
2019-02-01,Ukraine,2080,0.04838709677419351,0.001730734347255205,49,355,242,150,101,17,1166,650,264,1166,543,51,2,57,1427
2019-02-01,Spain,1373,-0.09193121693121695,0.0011424510859525945,38,374,316,301,130,80,134,792,447,134,1006,17,5,129,216
2019-02-01,Romania,771,0.2028081123244929,0.00064153662583354,5,102,121,83,49,21,390,265,116,390,334,4,4,30,399
2019-02-01,Norway,577,-0.6729024943310659,0.00048011236459916037,43,174,101,73,109,61,16,407,154,16,455,38,3,45,36
2019-02-01,Sweden,927,-0.5123619147816938,0.0007713417018776804,64,249,157,178,164,70,45,580,302,45,729,19,9,91,79
2019-02-01,Poland,1266,-0.24777183600713015,0.001053418117127447,33,269,222,132,69,23,518,486,262,518,619,14,0,74,559
2019-02-01,Swiss,877,-0.634431012922051,0.0007297375108378918,50,239,144,146,163,81,54,538,285,54,710,17,0,67,83
2019-02-01,Portugal,670,-0.14540816326530615,0.0005574961599331672,67,130,131,110,90,59,83,269,318,83,545,5,0,19,101
2019-02-01,Austria,746,-0.5652680652680654,0.0006207345303136458,22,188,144,120,117,61,94,446,206,94,561,9,7,36,133
2019-02-01,Finland,933,-0.5175801447776629,0.000776334204802455,34,212,101,101,86,32,367,351,215,367,398,10,1,139,385
2019-02-01,Belgium,654,-0.1965601965601965,0.0005441828188004347,20,149,102,116,110,59,98,400,156,98,452,16,2,41,143
2019-02-01,Croatia,447,-0.06680584551148228,0.00037194146789571,5,48,55,61,41,9,228,193,26,228,192,7,1,11,236
2019-02-01,Greece,607,-0.19281914893617025,0.0005050748792230335,14,80,144,95,67,42,165,390,52,165,381,27,0,5,194
2019-02-01,Bulgaria,326,-0.12834224598930477,0.0002712593255794216,5,40,42,43,28,15,153,126,47,153,146,0,1,15,164
2019-02-01,Denmark,694,-0.13466334164588534,0.0005774661716322657,42,177,102,112,114,48,99,423,172,99,469,12,5,77,131
2019-02-01,Ireland,613,-0.09453471196454943,0.0005100673821478081,31,158,160,103,71,41,49,384,180,49,389,7,0,14,203
2019-02-01,Europe others,2674,-0.44256827183656455,0.002224992136807893,156,626,458,352,209,160,713,1177,784,713,1579,24,15,245,811
2019-02-01,Austrailia,8331,-0.049948682860075255,0.006932090311049574,896,1952,1535,1498,1234,901,315,4504,3512,315,6836,73,31,119,1272
2019-02-01,New Zealand,1863,-0.07451564828614013,0.0015501721581425226,179,382,397,259,311,200,135,994,734,135,1221,14,5,11,612
2019-02-01,Oceania others,428,0.1116883116883116,0.0003561318753005903,12,94,97,65,41,32,87,229,112,87,325,0,5,2,96
2019-02-01,South Africa,1191,0.08767123287671241,0.000991011830567764,27,567,261,105,67,38,126,471,594,126,374,6,5,8,798
2019-02-01,Africa others,3476,0.15750915750915762,0.0028923233610861033,125,850,864,591,324,98,624,2195,657,624,1142,806,58,520,950
2019-02-01,Stateless,39,-0.2641509433962265,3.24512690110351e-05,2,7,8,5,6,5,6,24,9,6,24,1,0,3,11
2019-02-01,Overseas Korean,14459,-0.142763976996502,0.012031099964886065,384,1166,1447,2776,4571,4115,0,6163,8296,0,0,0,0,0,14459
2019-03-01,China,487623,0.20874389273523655,0.3175371066544849,14459,137271,133971,64975,63774,60503,12670,189613,285340,12670,369165,3933,414,32532,81579
2019-03-01,Japan,375119,0.27385253806761845,0.24427519192311226,81364,112727,42342,59631,47010,29468,2577,106174,266368,2577,367157,2108,126,1231,4497
2019-03-01,Taiwan,98510,0.04704306789677304,0.06414910776672413,7613,24934,25101,17349,13044,9490,979,29719,67812,979,96643,64,12,460,1331
2019-03-01,Hong Kong,46068,-0.2610202117420597,0.029999199031544483,1597,10351,10333,8226,8773,5863,925,14116,31027,925,44679,61,5,265,1058
2019-03-01,Macao,3049,-0.31235904375281914,0.0019854900982716663,60,976,905,440,413,230,25,819,2205,25,2974,2,0,41,32
2019-03-01,Phillipines,38701,-0.06013065546300122,0.025201853818698508,1989,6297,6541,4162,2664,1763,15285,11556,11860,15285,21542,166,119,108,16766
2019-03-01,Indonesia,25626,0.26848826848826857,0.016687494017156353,2083,5810,5720,3888,2456,1263,4406,9800,11420,4406,18857,242,135,277,6115
2019-03-01,Thailand,53100,-0.04727729433928407,0.034578394299188416,5577,12550,13698,8230,4641,2789,5615,16052,31433,5615,45605,66,397,136,6896
2019-03-01,Vietnam,46991,0.24790206076056928,0.030600250970116063,4480,11937,10998,6360,5388,2599,5229,20744,21018,5229,32117,1047,186,5394,8247
2019-03-01,India,10646,0.13702873010787145,0.006932609900360827,342,1735,2756,1563,681,389,3180,6103,1363,3180,3051,3283,52,197,4063
2019-03-01,Malaysia,40789,0.07779098956268983,0.026561546611480163,5697,10012,8560,5923,5211,2915,2471,14376,23942,2471,37653,107,7,286,2736
2019-03-01,Singapore,22105,-0.0034712830222702884,0.014394640414003013,3822,4375,3731,3731,3201,1992,1253,8476,12376,1253,20524,161,7,49,1364
2019-03-01,Mongolia,8724,-0.18192048012003004,0.005681015289380786,816,1776,2643,2120,997,327,45,4335,4344,45,6691,119,383,967,564
2019-03-01,Uzbekistan,8405,0.11857865318072937,0.005473284446039146,451,2414,2742,1398,587,334,479,6112,1814,479,3150,896,0,863,3496
2019-03-01,Myanmar,7021,0.1524950755088641,0.004572032135114912,118,1687,1376,469,221,71,3079,3306,636,3079,2026,17,52,102,4824
2019-03-01,*GCC,3021,0.013758389261744997,0.0019672566700159734,633,775,773,405,278,120,37,1658,1326,37,2758,22,19,135,87
2019-03-01,Kazakhstan,4915,-0.10228310502283099,0.0032006178527403213,561,1241,1093,806,577,332,305,2078,2532,305,3202,11,3,178,1521
2019-03-01,Turkey,2532,0.027597402597402617,0.0016488228694076284,54,385,545,316,147,101,984,1092,456,984,1369,15,73,38,1037
2019-03-01,Cambodia,2501,0.0836221837088389,0.0016286358595531114,109,1260,752,133,88,76,83,1727,691,83,752,43,107,38,1561
2019-03-01,Sri Lanka,1494,0.002012072434607548,0.0009728836362144535,26,539,523,118,49,18,221,1179,94,221,177,53,11,28,1225
2019-03-01,Bangladesh,1704,0.1420911528150135,0.001109634348132148,62,624,493,186,85,23,231,1353,120,231,206,148,107,230,1013
2019-03-01,Pakistan,1282,-0.11768754301445286,0.0008348305365642099,61,470,413,184,85,15,54,1085,143,54,285,233,14,256,494
2019-03-01,Israel,1613,0.06609385327164573,0.0010503757063011472,31,159,224,296,290,603,10,1037,566,10,1549,11,1,1,51
2019-03-01,Iran,382,-0.5013054830287207,0.0002487560569169487,30,60,134,76,31,28,23,228,131,23,195,95,8,30,54
2019-03-01,Asia others,6719,0.08039877793857532,0.004375371587499943,470,2435,1957,789,439,184,445,4533,1741,445,2759,547,241,402,2770
2019-03-01,USA,84275,0.05239825672148757,0.05487936308030328,7736,12709,14323,13477,15237,15631,5162,43129,35984,5162,65448,400,2221,190,16016
2019-03-01,Canada,18670,-0.008655020442839723,0.0121577894833493,2092,2557,3293,2901,3094,3530,1203,8627,8840,1203,14313,42,38,37,4240
2019-03-01,Brazil,1673,0.04693366708385471,0.0010894473382776313,116,347,426,235,139,120,290,754,629,290,1250,19,15,21,368
2019-03-01,Mexico,2201,-0.036339754816112076,0.0014332776996706913,90,437,528,283,228,172,463,1014,724,463,1663,7,1,18,512
2019-03-01,America others,3208,0.13196894848271,0.002089029923009349,134,776,789,404,264,193,648,1458,1102,648,2299,22,27,79,781
2019-03-01,Russia,27992,0.08778611121905723,0.018228218704762374,2909,5430,6403,4511,2850,1519,4370,12054,11568,4370,20692,141,13,182,6964
2019-03-01,UK,12813,0.04536183405401006,0.008343747008578177,415,1983,2151,1966,2182,3244,872,7278,4663,872,11064,126,13,50,1560
2019-03-01,Germany,11142,-0.008630661090844427,0.007255602058033095,468,2076,2139,1853,2064,1707,835,6960,3347,835,9496,219,29,106,1292
2019-03-01,France,7469,0.051675584342438796,0.004863766987205994,436,1776,1610,1484,978,585,600,4327,2542,600,5824,274,60,245,1066
2019-03-01,Italy,3583,0.010719322990127012,0.0023332276228623747,81,528,844,874,583,229,444,2364,775,444,2931,64,10,33,545
2019-03-01,Netherland,2898,0.08783783783783793,0.0018871598244641812,92,463,495,463,513,399,473,1688,737,473,2219,47,12,20,600
2019-03-01,Ukraine,2368,0.04732419283502876,0.001542027075338572,58,318,298,176,114,40,1364,688,316,1364,630,95,6,17,1620
2019-03-01,Spain,2007,-0.11507936507936511,0.0013069460896133927,44,443,562,490,206,112,150,1247,610,150,1675,21,10,36,265
2019-03-01,Romania,1044,0.07628865979381437,0.0006798463963908232,29,100,177,106,79,28,525,355,164,525,494,5,3,2,540
2019-03-01,Norway,858,-0.390625,0.0005587243372637224,92,199,146,143,162,76,40,546,272,40,723,37,1,24,73
2019-03-01,Sweden,1458,-0.1403301886792453,0.0009494406570285634,85,332,264,307,266,154,50,868,540,50,1261,30,9,47,111
2019-03-01,Poland,1960,0.12064036592338477,0.00127633997789848,38,351,477,245,129,98,622,839,499,622,1264,8,1,21,666
2019-03-01,Swiss,1224,-0.18345563709139426,0.0007970612923202754,49,215,226,209,239,237,49,760,415,49,1054,13,1,21,135
2019-03-01,Portugal,824,-0.1608961303462322,0.0005365837458103813,18,153,203,163,125,65,97,394,333,97,686,2,0,8,128
2019-03-01,Austria,911,-0.1509785647716683,0.0005932376121762833,20,150,212,161,163,96,109,597,205,109,740,9,0,5,157
2019-03-01,Finland,1082,-0.09304274937133274,0.0007045917633092631,39,161,138,171,144,43,386,444,252,386,641,17,3,15,406
2019-03-01,Belgium,1400,0.3145539906103288,0.0009116714127846287,34,189,275,266,312,219,105,902,393,105,1161,16,20,9,194
2019-03-01,Croatia,489,-0.2557077625570776,0.0003184338006083453,4,53,76,56,39,15,246,192,51,246,211,11,1,3,263
2019-03-01,Greece,803,-0.1067853170189099,0.0005229086746186122,16,91,163,113,117,44,259,449,95,259,509,13,10,1,270
2019-03-01,Bulgaria,455,-0.07894736842105265,0.00029629320915500434,16,44,66,56,32,15,226,158,71,226,212,3,1,3,236
2019-03-01,Denmark,1001,-0.13781223083548666,0.0006518450601410096,64,198,153,181,166,116,123,609,269,123,813,11,5,10,162
2019-03-01,Ireland,724,-0.03466666666666662,0.00047146435918290797,21,150,153,132,115,95,58,457,209,58,587,7,2,5,123
2019-03-01,Europe others,3300,0.022621629996901094,0.0021489397587066248,107,580,647,532,272,194,968,1469,863,968,2105,31,18,67,1079
2019-03-01,Austrailia,12263,0.14682502571775927,0.007985590382127072,974,1504,2078,2083,2040,3260,324,6337,5602,324,10769,99,31,13,1351
2019-03-01,New Zealand,2451,0.03855932203389823,0.001596076166239375,188,363,499,366,482,411,142,1304,1005,142,1800,24,4,2,621
2019-03-01,Oceania others,430,0.13756613756613767,0.00028001336249813596,20,79,99,79,48,22,83,228,119,83,331,2,6,2,89
2019-03-01,South Africa,945,0.1901763224181361,0.0006153782036296245,30,276,192,110,93,71,173,387,385,173,488,5,2,6,444
2019-03-01,Africa others,3798,0.162890385793019,0.002473234304111443,136,729,924,595,294,100,1020,2136,642,1020,1267,831,87,259,1354
2019-03-01,Stateless,57,0.036363636363636376,3.711805037765988e-05,0,8,10,9,9,7,14,32,11,14,38,2,0,0,17
2019-03-01,Overseas Korean,19225,-0.18868163403106014,0.012519202079131778,918,1336,1901,4011,5402,5657,0,7845,11380,0,0,0,0,0,19225
2019-04-01,China,493250,0.345457223598215,0.3016697796908504,16492,134102,139617,65302,62969,61204,13564,180816,298870,13564,410542,3575,362,9959,68812
2019-04-01,Japan,290092,0.3565018961623172,0.17741913782073626,28550,73721,49370,53623,45116,36773,2939,106567,180586,2939,283101,1584,126,333,4948
2019-04-01,Taiwan,113072,0.07506393983475479,0.06915439499078326,9518,23691,28047,20239,16531,14028,1018,35445,76609,1018,111505,73,13,147,1334
2019-04-01,Hong Kong,76104,0.14385342611936935,0.04654491011372018,12113,12084,14315,15750,12675,8376,791,25868,49445,791,75074,47,2,90,891
2019-04-01,Macao,4310,0.04535532379335439,0.002635979220410675,375,1188,1196,575,558,418,0,1226,3084,0,4292,1,1,3,13
2019-04-01,Phillipines,66525,0.356186165983732,0.040686431006454776,7525,9875,10284,8410,5904,4280,20247,19859,26419,20247,43794,228,167,45,22291
2019-04-01,Indonesia,31427,0.12589116182423954,0.01922063084915227,2137,6622,6488,4424,3222,1830,6704,10870,13853,6704,22596,225,207,54,8345
2019-04-01,Thailand,69726,0.07734857849196541,0.04264415014439784,7710,17390,17251,10301,7013,4423,5638,20811,43277,5638,61999,53,401,55,7218
2019-04-01,Vietnam,63169,0.24527372010960627,0.03863391447195404,4636,14925,16384,9377,7854,4688,5305,26558,31306,5305,51939,1271,283,1284,8392
2019-04-01,India,12933,0.2153932901043134,0.007909772449552495,490,1707,2829,1641,821,481,4964,6192,1777,4964,4088,3039,53,75,5678
2019-04-01,Malaysia,43726,0.04770576254941905,0.026742651366978457,3801,10929,9100,6077,6478,4908,2433,14850,26443,2433,40894,120,4,27,2681
2019-04-01,Singapore,23307,0.10302886890676756,0.014254470461742828,1914,5364,4648,3715,3616,2784,1266,8532,13509,1266,21814,116,1,19,1357
2019-04-01,Mongolia,7582,-0.0032864466938345993,0.004637121681938221,762,1292,2457,1881,858,292,40,3670,3872,40,6389,83,299,248,563
2019-04-01,Uzbekistan,7378,0.032899342013159805,0.004512356076146162,197,1837,2480,1366,564,376,558,5078,1742,558,3270,651,4,109,3344
2019-04-01,Myanmar,7272,-0.01195652173913042,0.004447526888822837,285,1557,1245,578,369,196,3042,3026,1204,3042,2716,13,62,17,4464
2019-04-01,*GCC,3265,0.32346980137819203,0.00199686128877978,516,864,914,470,334,137,30,1812,1423,30,3115,24,17,34,75
2019-04-01,Kazakhstan,4618,-0.03731498853450076,0.002824350821312412,391,1191,1151,689,520,364,312,2026,2280,312,3129,20,11,17,1441
2019-04-01,Turkey,2826,-0.15109642535295886,0.0017283705978841221,71,395,522,385,283,243,927,1190,709,927,1687,12,142,13,972
2019-04-01,Cambodia,5325,0.34810126582278483,0.0032567492688368544,500,2730,1226,341,268,260,0,3666,1659,0,2028,63,112,18,3104
2019-04-01,Sri Lanka,1478,0.055714285714285605,0.0009039390458856096,63,464,474,146,73,24,234,1118,126,234,313,72,6,8,1079
